شروع,پایان,روز,حالت,coin_composition,signature,members,avg_return,compensation_ratio,survival_rate,avg_correlation,quality_score
2022-05-04,2022-06-15,43,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.6946428571428567,2.7416020671834627,66.66666666666666,-0.42901171096762103,97.70366320393659
2022-06-16,2022-11-01,139,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadFib_BufOff_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOff_15m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_1h']",2.914492753623188,2.268196721311474,65.21739130434783,-0.1651619675749374,96.29227524798874
2022-11-02,2022-12-14,43,تکی-برتر (ادغام بهتر نبود),SOLUSDT,SOLUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_30m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_15m']",1.9425,2.272727272727272,70.0,-0.6668252361777726,98.43474185737719
2022-12-15,2023-01-17,34,تکی-برتر (ادغام بهتر نبود),XRPUSDT,XRPUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOn_15m']",2.270454545454545,3.319047619047619,72.72727272727273,-0.2564945880212885,98.19651644145904
2023-01-18,2023-02-15,29,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_CorePPI,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.7590909090909093,3.96551724137931,72.72727272727273,-0.6512755144413094,98.63547606029837
2023-02-16,2023-03-13,26,تکی-برتر (ادغام بهتر نبود),SOLUSDT+XRPUSDT,SOLUSDT+XRPUSDT_post_10.0_simple_hybrid_none_volatile_CPI,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_30m']",1.6949999999999994,2.1189710610932475,70.0,-0.6303449656871327,97.78489416542999
2023-03-14,2023-03-21,8,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.6946428571428567,2.7416020671834627,66.66666666666666,-0.42901171096762103,97.70366320393659
2023-03-22,2023-05-02,42,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_15m']",2.1102272727272724,2.6978417266187047,63.63636363636363,-0.48500794825843646,98.06764039678202
2023-05-03,2023-09-19,140,تکی-برتر (ادغام بهتر نبود),SOLUSDT,SOLUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Touch_TLpP5-mT3-pR001_LadFib_BufOff_30m', 'B4Touch_TLpP5-mT3-pR001_LadFib_BufOn_15m']",1.9425,2.272727272727272,70.0,-0.6668252361777726,98.43474185737719
2023-09-20,2023-09-20,1,تکی-برتر (ادغام بهتر نبود),XRPUSDT,XRPUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOn_15m']",2.270454545454545,3.319047619047619,72.72727272727273,-0.2564945880212885,98.19651644145904
2023-09-21,2023-10-11,21,تکی-برتر (ادغام بهتر نبود),SOLUSDT+XRPUSDT,SOLUSDT+XRPUSDT_post_10.0_simple_hybrid_none_volatile_CPI,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_30m']",1.6949999999999994,2.1189710610932475,70.0,-0.6303449656871327,97.78489416542999
2023-10-12,2023-10-31,20,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_london_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_DvgBull_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadFib_BufOn_1h']",1.6946428571428567,2.7416020671834627,66.66666666666666,-0.42901171096762103,97.70366320393659
2023-11-01,2023-12-13,43,تکی-برتر (ادغام بهتر نبود),BTCUSDT,BTCUSDT_post_10.0_simple_hybrid_newyork_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT3-pR001_BrT012_LadLine_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT3-pR04_BrT012_LadFib_BufOn_15m']",2.1102272727272724,2.6978417266187047,63.63636363636363,-0.48500794825843646,98.06764039678202
2023-12-14,2024-01-11,29,تکی-برتر (ادغام بهتر نبود),XRPUSDT,XRPUSDT_pre_5.0_simple_hybrid_none_volatile_FOMC,"['B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadFib_BufOn_15m', 'B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOn_15m']",2.270454545454545,3.319047619047619,72.72727272727273,-0.2564945880212885,98.19651644145904
